"Bird.ID","FirstFound","LastPresent","LastChecked","Fate","Freq","YearDay","Study.Area","Location","Trans.Type","Sex","TurkAge","Weight","Hematoma","Pat.Tag","HandTime","MG","LPDV","REV","mtCDy","avgmtWk","pcpCDy","avgpcpWk"
141,1,30,30,0,1,61,"S","Buckfield","Neck","M","J",13,0,"N",160,1,0,1,-13.3026666641235,-6.06233337202242,0,1.10016667523554
142,1,30,30,0,1,61,"S","Buckfield","Neck","M","J",13,0,"N",160,1,0,1,-13.3026666641235,-6.06233337202242,0,1.10016667523554
144,1,30,30,0,1,61,"S","Buckfield","Neck","M","A",18.5,1,"N",160,0.74468085106383,1,0,-13.3026666641235,-6.06233337202242,0,1.10016667523554
147,1,30,30,0,1,61,"S","Buckfield","Neck","M","A",20,1,"N",160,0,0,1,-13.3026666641235,-6.06233337202242,0,1.10016667523554
148,1,30,30,0,1,61,"S","Buckfield","Neck","M","A",17.5,0,"N",160,0,1,1,-13.3026666641235,-6.06233337202242,0,1.10016667523554
155,1,30,30,0,1,49,"NC","Newburgh","Neck","M","A",19.5,0,"N",107,0,0,1,-14.4766667683919,-14.5542619568961,10.9281667073568,1.56116667247954
251,1,30,30,0,1,47,"NE","Madden","Back","F","A",9.8,0,"Y",109.476394849785,1,1,0,-12.0813333193461,-8.35466663042704,0,2.62528568648157
254,1,30,30,0,1,78,"NW","Bradford","Back","F","J",7.5,1,"N",175,1,1,0,-13.0811251401901,-7.8910000366824,0,0.31080357169932
256,1,30,30,0,1,78,"NW","Bradford","Back","F","J",7.25,1,"N",192,1,0,0,-13.0811251401901,-7.8910000366824,0,0.31080357169932
258,1,30,30,0,1,78,"NW","Bradford","Back","F","J",7,1,"N",140,1,0,0,-13.0811251401901,-7.8910000366824,0,0.31080357169932
259,1,27,30,1,1,49,"NW","Sanborn","Back","F","A",10,0,"Y",109.476394849785,1,1,0,-13.8959999084473,-7.50709523473467,0.188833335414529,1.04773809787418
260,1,30,30,0,1,78,"NW","Bradford","Back","F","J",8,0,"N",292,0,1,0,-13.0811251401901,-7.8910000366824,0,0.31080357169932
261,1,30,30,0,1,78,"NW","Bradford","Back","F","A",8.5,0,"N",200,1,1,0,-13.0811251401901,-7.8910000366824,0,0.31080357169932
265,1,30,30,0,1,78,"NW","Bradford","Back","F","A",9.5,1,"N",95,1,1,0,-13.0811251401901,-7.8910000366824,0,0.31080357169932
266,1,30,30,0,1,49,"NW","Sanborn","Back","F","A",8,0,"Y",109.476394849785,1,1,0,-13.8959999084473,-7.50709523473467,0.188833335414529,1.04773809787418
272,1,30,30,0,1,49,"NW","Sanborn","Back","F","A",9.5,0,"Y",109.476394849785,0.74468085106383,1,0,-13.8959999084473,-7.50709523473467,0.188833335414529,1.04773809787418
275,1,30,30,0,1,49,"NW","Sanborn","Back","F","A",10,0,"Y",109.476394849785,1,1,0,-13.8959999084473,-7.50709523473467,0.188833335414529,1.04773809787418
280,1,30,30,0,1,49,"NW","Sanborn","Back","F","A",10.75,0,"Y",109.476394849785,1,1,0,-13.8959999084473,-7.50709523473467,0.188833335414529,1.04773809787418
281,1,30,30,0,1,49,"NW","Sanborn","Back","F","A",9,0,"Y",109.476394849785,0.74468085106383,0.564593301435407,0.172248803827751,-13.8959999084473,-7.50709523473467,0.188833335414529,1.04773809787418
283,1,30,30,0,1,78,"NW","Bradford","Back","F","J",7,0,"N",160,1,0,0,-13.0811251401901,-7.8910000366824,0,0.31080357169932
284,1,4,11,1,1,49,"NW","Sanborn","Back","F","A",10,0,"Y",109.476394849785,0.74468085106383,0.564593301435407,0.172248803827751,-13.8959999084473,-7.50709523473467,0.188833335414529,1.04773809787418
286,1,30,30,0,1,64,"NE","Horseback","Back","F","A",12.5,1,"Y",46,1,1,0,-1.34766666094462,-3.50421428964252,0,3.8786191095465
351,1,1,19,1,1,81,"S","Rust Farm","Back","F","A",10.5,0,"N",4,1,1,0,-3.94449996948242,-4.17105354794434,0.400624995934777,0.170124998831722
352,1,30,30,0,1,48,"S","Mosher Corner (Gray)","Back","F","A",9,0,"Y",109.476394849785,1,1,0,-8.40128571646554,-5.14873468127026,10.1764284542629,2.32016325502999
354,1,30,30,0,1,53,"NE","Bradbury","Back","F","A",8.5,0,"Y",109.476394849785,1,1,0,-10.4588332176208,-5.63445238698097,0,0.858690473295393
355,1,30,30,0,1,53,"NE","Bradbury","Back","F","A",8.5,0,"Y",109.476394849785,1,0,0,-10.4588332176208,-5.63445238698097,0,0.858690473295393
356,1,30,30,0,1,53,"NE","Bradbury","Back","F","A",10,0,"Y",109.476394849785,0,1,0,-10.4588332176208,-5.63445238698097,0,0.858690473295393
357,1,1,7,1,1,53,"NE","Bradbury","Back","F","A",9.5,0,"Y",109.476394849785,1,1,0,-10.4588332176208,-5.63445238698097,0,0.858690473295393
358,1,30,30,0,1,53,"NE","Bradbury","Back","F","A",8.5,0,"Y",109.476394849785,1,1,0,-10.4588332176208,-5.63445238698097,0,0.858690473295393
359,1,30,30,0,1,53,"NE","Bradbury","Back","F","A",9.5,0,"Y",109.476394849785,1,1,0,-10.4588332176208,-5.63445238698097,0,0.858690473295393
360,1,30,30,0,1,53,"NE","Bradbury","Back","F","A",7.5,0,"Y",109.476394849785,1,1,0,-10.4588332176208,-5.63445238698097,0,0.858690473295393
361,1,30,30,0,1,53,"NE","Bradbury","Back","F","A",9,0,"Y",109.476394849785,1,1,0,-10.4588332176208,-5.63445238698097,0,0.858690473295393
362,1,30,30,0,1,53,"NE","Bradbury","Back","F","A",10,0,"Y",109.476394849785,1,1,0,-10.4588332176208,-5.63445238698097,0,0.858690473295393
363,1,1,7,1,1,53,"NE","Bradbury","Back","F","A",6,0,"Y",109.476394849785,1,1,0,-10.4588332176208,-5.63445238698097,0,0.858690473295393
364,1,1,19,1,1,81,"S","Rust Farm","Back","F","A",12,0,"N",14,1,1,0,-3.94449996948242,-4.17105354794434,0.400624995934777,0.170124998831722
365,1,30,30,0,1,81,"S","Rust Farm","Back","F","A",9.5,0,"N",21,1,0,0,-3.94449996948242,-4.17105354794434,0.400624995934777,0.170124998831722
