exp(-exp(-x))
For interpretting the beta use reverse of loglog

Model Estimates

Handling Time
"","estimate","se","lcl","ucl"
"S:(Intercept)",3.8867044,0.3921095,3.1181697,4.655239
"S:HandTime",0.8999763,0.4433888,0.0309343,1.7690184
"S:LN",0.5866471,0.1812788,0.2313406,0.9419535
"S:HandTime:LN",-0.1047254,0.2121476,-0.5205347,0.3110839

"","estimate","se","lcl","ucl","fixed","note"
"S gNWBrad StFABack0N a0 t1",0.9797543,0.0078745,0.9569453,0.9905985,"     ",""
"S gNWBrad StFABack0N a1 t2",0.9864694,0.0038563,0.9764063,0.9922744,"     ",""
"S gNWBrad StFABack0N a2 t3",0.9893169,0.0024894,0.9831547,0.9932404,"     ",""
"S gNWBrad StFABack0N a3 t4",0.9909676,0.0018424,0.9865394,0.9939479,"     ",""
"S gNWBrad StFABack0N a4 t5",0.9920708,0.001493,0.9885388,0.9945205,"     ",""
"S gNWBrad StFABack0N a5 t6",0.9928718,0.0012916,0.9898376,0.9950047,"     ",""
"S gNWBrad StFABack0N a6 t7",0.9934858,0.001171,0.9907386,0.9954219,"     ",""
"S gNWBrad StFABack0N a7 t8",0.9939749,0.0010965,0.9913962,0.995784,"     ",""
"S gNWBrad StFABack0N a8 t9",0.9943758,0.0010492,0.9918964,0.9960996,"     ",""
"S gNWBrad StFABack0N a9 t10",0.9947118,0.0010183,0.9922903,0.9963755,"     ",""
"S gNWBrad StFABack0N a10 t11",0.9949985,0.0009974223,0.9926097,0.9966178,"     ",""
"S gNWBrad StFABack0N a11 t12",0.9952467,0.0009827615,0.9928749,0.9968315,"     ",""
"S gNWBrad StFABack0N a12 t13",0.9954641,0.0009720418,0.9930995,0.9970208,"     ",""
"S gNWBrad StFABack0N a13 t14",0.9956565,0.000963841,0.9932932,0.9971895,"     ",""
"S gNWBrad StFABack0N a14 t15",0.9958284,0.000957265,0.9934624,0.9973404,"     ",""
"S gNWBrad StFABack0N a15 t16",0.995983,0.0009517441,0.9936121,0.9974761,"     ",""
"S gNWBrad StFABack0N a16 t17",0.996123,0.0009469106,0.9937458,0.9975988,"     ",""
"S gNWBrad StFABack0N a17 t18",0.9962505,0.0009425255,0.9938665,0.99771,"     ",""
"S gNWBrad StFABack0N a18 t19",0.9963673,0.0009384321,0.993976,0.9978114,"     ",""
"S gNWBrad StFABack0N a19 t20",0.9964747,0.0009345275,0.9940762,0.9979041,"     ",""
"S gNWBrad StFABack0N a20 t21",0.996574,0.0009307441,0.9941684,0.9979892,"     ",""
"S gNWBrad StFABack0N a21 t22",0.996666,0.0009270377,0.9942537,0.9980676,"     ",""
"S gNWBrad StFABack0N a22 t23",0.9967516,0.0009233799,0.9943328,0.99814,"     ",""
"S gNWBrad StFABack0N a23 t24",0.9968316,0.0009197527,0.9944067,0.9982071,"     ",""
"S gNWBrad StFABack0N a24 t25",0.9969064,0.0009161451,0.9944758,0.9982694,"     ",""
"S gNWBrad StFABack0N a25 t26",0.9969766,0.0009125509,0.9945407,0.9983274,"     ",""
"S gNWBrad StFABack0N a26 t27",0.9970427,0.0009089669,0.9946019,0.9983816,"     ",""
