"S","model","npar","AICc","DeltaAICc","weight","Deviance"
"~HandTime * LN","S(~HandTime * LN)",4,366.111407822278,0,0.823524838929307,358.10515
"~Trans.Type * LN","S(~Trans.Type * LN)",4,370.456327822278,4.34492,0.0937970787181129,362.45007
"~TurkAge * LN","S(~TurkAge * LN)",4,372.175707822278,6.0643,0.0397036733768609,364.16945
"~REV * LN","S(~REV * LN)",4,376.045467822278,9.93406000000004,0.00573486213922909,368.03921
"~Sex * LN","S(~Sex * LN)",4,376.501037822278,10.38963,0.00456664459890196,368.49478
"~LN","S(~LN)",2,376.667386759462,10.5559789371841,0.0042021833825682,372.66551
"~SexTT * LN","S(~SexTT * LN)",8,376.76936226675,10.6579544444724,0.00399329414112216,360.74682
"~avgmtWk * LN","S(~avgmtWk * LN)",4,376.783997822278,10.67259,0.00396417876191604,368.77774
"~BodyCon * LN","S(~BodyCon * LN)",4,376.791967822278,10.68056,0.00394841294380611,368.78571
"~mtCDy * LN","S(~mtCDy * LN)",4,376.890347822278,10.77894,0.00375889004038953,368.88409
"~MG * LN","S(~MG * LN)",4,377.451247822278,11.33984,0.00283962985745475,369.44499
"~avgpcpWk * LN","S(~avgpcpWk * LN)",4,378.003757822278,11.89235,0.00215419846375979,369.9975
"~Time","S(~Time)",2,378.423506759462,12.3120989371841,0.00174637854901566,374.42163
"~Time + I(Time^2)","S(~Time + I(Time^2))",3,378.513434106054,12.4020262837757,0.00166959414493739,372.50968
"~Hematoma * LN","S(~Hematoma * LN)",4,379.418877822278,13.30747,0.00106168653216576,371.41262
"~LPDV * LN","S(~LPDV * LN)",4,379.422147822278,13.31074,0.00105995209297609,371.41589
"~pcpCDy * LN","S(~pcpCDy * LN)",4,379.799507822278,13.6881,0.000877694857729733,371.79325
"~YearDay * LN","S(~YearDay * LN)",4,380.278447822278,14.16704,0.000690785247782719,372.27219
"~YearDay * LN","S(~YearDay * LN)",4,380.278447822278,14.16704,0.000690785247782719,372.27219
"~Study.Area * LN","S(~Study.Area * LN)",14,388.675050090881,22.5636422686027,1.03763362860447e-05,360.60924
"~1","S(~1)",1,390.191355488663,24.0799476663851,4.86163673316146e-06,388.19073
"~Location * LN","S(~Location * LN)",66,420.684196398104,54.5727885758264,1.16237492446196e-12,287.28704
