BirdID,MG_result,SP_result,LPDV_result,REV_result
3,1,0,1,0
4,1,0,1,0
5,1,0,0,0
6,1,0,0,0
7,1,0,1,0
8,1,0,1,0
9,1,0,1,0
10,1,0,1,0
11,1,0,1,0
12,1,0,1,0
13,1,0,0,0
14,1,0,0,0
15,1,0,1,0
16,1,0,1,1
17,1,0,1,0
18,1,0,0,1
19,1,0,1,0
20,1,0,1,0
21,1,0,1,0
22,1,0,1,1
23,1,0,1,0
24,1,0,1,0
25,1,0,1,0
26,1,0,1,0
34,1,0,1,0
100,1,0,0,1
1000,NA,NA,0,0
1000069,NA,NA,1,1
1000070,NA,NA,1,0
1000071,NA,NA,1,0
1000072,NA,NA,0,0
1000073,NA,NA,1,0
1000074,NA,NA,0,0
1000075,NA,NA,0,0
1000076,NA,NA,0,0
1000079,NA,NA,0,0
1001,NA,NA,1,1
1002,NA,NA,1,0
1003,NA,NA,1,1
1004,NA,NA,0,0
1005,NA,NA,1,0
1006,NA,NA,1,0
1007,NA,NA,0,1
1008,NA,NA,1,1
1009,NA,NA,1,0
1010,NA,NA,1,1
1011,NA,NA,1,0
1012,NA,NA,1,0
1013,NA,NA,1,0
1014,NA,NA,1,1
1015,NA,NA,1,0
1016,NA,NA,0,1
1017,NA,NA,0,0
1018,NA,NA,0,0
1019,NA,NA,1,0
1020,NA,NA,1,1
1021,NA,NA,1,0
1022,NA,NA,0,0
1023,NA,NA,0,0
1024,NA,NA,0,1
1025,NA,NA,0,0
10251,NA,NA,1,0
10252,NA,NA,0,0
10253,NA,NA,0,0
10254,NA,NA,1,0
10255,NA,NA,0,0
10256,NA,NA,1,1
10257,NA,NA,1,0
10258,NA,NA,1,0
10259,NA,NA,1,0
1026,NA,NA,1,0
10260,NA,NA,0,0
10261,NA,NA,0,0
10262,NA,NA,0,0
10263,NA,NA,1,0
10264,NA,NA,0,0
10265,NA,NA,1,0
10266,NA,NA,1,1
10267,NA,NA,0,0
10268,NA,NA,0,0
10269,NA,NA,0,0
1027,NA,NA,0,0
10270,NA,NA,1,1
10271,NA,NA,0,0
1028,NA,NA,0,0
1031,NA,NA,1,0
1032,NA,NA,0,0
1033,NA,NA,1,0
10352,0,0,0,0
10353,1,0,1,0
10354,1,0,0,0
10355,1,0,1,0
10361,1,0,1,0
10362,1,0,1,0
10363,1,0,1,0
10364,1,0,0,0
10365,1,0,1,0
10366,1,1,1,0
10367,1,0,1,0
10368,1,0,1,0
10369,1,0,1,1
10370,1,0,1,1
10371,1,0,1,0
10372,1,0,0,0
10373,1,0,1,1
10374,1,0,1,0
10375,1,0,1,0
10376,0,0,1,0
10383,1,0,0,0
1040,NA,NA,0,0
1041,NA,NA,1,0
1042,NA,NA,1,0
1043,NA,NA,1,0
1044,NA,NA,0,0
1045,NA,NA,0,0
1046,NA,NA,0,0
1047,NA,NA,1,1
1048,NA,NA,0,0
1049,NA,NA,0,0
1050,NA,NA,1,0
1110,NA,NA,0,0
1136,1,0,1,1
1201,NA,NA,0,0
1202,NA,NA,0,0
1203,NA,NA,0,0
1204,NA,NA,0,1
1205,NA,NA,1,0
1206,NA,NA,0,0
1207,NA,NA,0,0
1208,NA,NA,0,0
1251,1,0,1,0
1252,NA,NA,1,1
1253,0,0,1,0
1254,NA,NA,1,0
1255,1,0,1,0
1256,1,0,0,0
1257,1,0,1,0
1258,1,0,1,0
126,NA,NA,1,0
127,NA,NA,0,0
128,1,0,0,0
129,NA,NA,1,0
1301,NA,NA,0,0
1302,1,0,1,0
1304,NA,NA,1,0
132,NA,NA,1,1
133,1,0,0,0
139,NA,NA,0,0
140,NA,NA,0,0
141,1,0,0,1
1412,NA,NA,1,0
1413,NA,NA,0,0
1414,NA,NA,1,0
1415,NA,NA,1,0
1416,NA,NA,1,0
1417,NA,NA,1,0
1418,NA,NA,1,0
1419,NA,NA,1,0
142,1,0,0,1
1431,NA,NA,0,0
1432,NA,NA,1,0
1433,NA,NA,0,0
1434,NA,NA,1,0
1435,NA,NA,0,0
1436,NA,NA,1,0
1437,NA,NA,0,0
1438,NA,NA,1,0
1439,NA,NA,0,0
144,NA,NA,1,0
1440,NA,NA,1,1
1442,NA,NA,1,1
1443,NA,NA,1,1
1444,NA,NA,0,0
1445,NA,NA,1,0
1451,NA,NA,0,0
1452,NA,NA,0,0
1453,NA,NA,0,0
1454,NA,NA,0,0
1455,NA,NA,0,0
147,0,0,0,1
148,0,0,1,1
1501,1,0,1,0
1502,1,0,0,0
1521,NA,NA,1,0
1522,1,0,1,0
1523,1,0,1,0
1524,NA,NA,0,1
1525,1,0,1,0
155,0,0,0,1
1551,NA,NA,0,0
1552,NA,NA,1,0
1553,NA,NA,1,1
1554,1,0,1,0
1555,1,0,0,1
1556,NA,NA,1,1
1557,NA,NA,1,1
1558,1,0,1,1
1559,0,0,1,1
156,0,0,1,1
1560,1,0,0,1
1561,0,0,1,1
1562,1,0,0,1
1563,0,0,1,1
1564,NA,NA,1,1
1565,1,0,1,1
157,0,0,1,1
1614,0,0,1,1
1615,0,0,0,1
1616,0,0,1,1
1617,0,0,1,0
1618,1,0,1,0
1619,NA,NA,0,0
1620,NA,NA,0,1
1621,NA,NA,1,1
1622,NA,NA,0,0
1623,NA,NA,1,0
1624,NA,NA,1,0
1625,NA,NA,1,0
1626,NA,NA,0,0
1627,NA,NA,1,0
1628,NA,NA,0,0
166,NA,NA,0,0
167,NA,NA,0,0
171,NA,NA,1,0
172,NA,NA,0,0
173,NA,NA,0,0
174,NA,NA,0,1
175,NA,NA,0,0
176,NA,NA,0,0
178,NA,NA,1,0
179,NA,NA,0,1
180,NA,NA,1,0
181,NA,NA,0,0
182,NA,NA,1,1
183,NA,NA,0,0
184,NA,NA,0,0
185,NA,NA,0,1
186,NA,NA,1,1
