"Bird.ID","FirstFound","LastPresent","LastChecked","Fate","Freq","YearDay","Study.Area","Location","Trans.Type","Sex","TurkAge","Weight","Hematoma","Pat.Tag","HandTime","MG","LPDV","REV","Prcp.Day","Prcp.Week","Tavg.Day","Tavg.Week","SampType","BodyCon","Year","SexTT"
141,1,30,30,0,1,61,"S","Buckfield","Neck","M","J",13,0,"N",160,1,0,1,0,8,-16,-17.5714285714286,3,2.32869791228622,2020,"M.N"
142,1,30,30,0,1,61,"S","Buckfield","Neck","M","J",13,0,"N",160,1,0,1,0,8,-16,-17.5714285714286,3,-0.641016452292254,2020,"M.N"
144,1,30,30,0,1,61,"S","Buckfield","Neck","M","A",18.5,1,"N",160,0.74468085106383,1,0,0,8,-16,-17.5714285714286,2,2.78943103061019,2020,"M.N"
147,1,30,30,0,1,61,"S","Buckfield","Neck","M","A",20,1,"N",160,0,0,1,0,8,-16,-17.5714285714286,3,4.28943103061019,2020,"M.N"
148,1,30,30,0,1,61,"S","Buckfield","Neck","M","A",17.5,0,"N",160,0,1,1,0,8,-16,-17.5714285714286,3,0.156088130092025,2020,"M.N"
155,1,30,30,0,1,49,"NC","Newburgh","Neck","M","A",19.5,0,"N",107,0,0,1,0,16,34,-27.7142857142857,3,1.26237860354438,2020,"M.N"
251,1,30,30,0,1,47,"NE","Madden","Back","F","A",9.8,0,"Y",109.476394849785,1,1,0,0,24.2857142857143,-74,-35.1428571428571,3,-1.3323294508589,2018,"F.B"
254,1,30,30,0,1,78,"NW","Bradford","Back","F","J",7.5,1,"N",175,1,1,0,0,4.71428571428571,-25,-41.7142857142857,3,-0.367670210230171,2018,"F.B"
256,1,30,30,0,1,78,"NW","Bradford","Back","F","J",7.25,1,"N",192,1,0,0,0,4.71428571428571,-25,-41.7142857142857,3,-1.36009880137479,2018,"F.B"
258,1,30,30,0,1,78,"NW","Bradford","Back","F","J",7,1,"N",140,1,0,0,0,4.71428571428571,-25,-41.7142857142857,3,-0.125241619085554,2018,"F.B"
259,1,27,30,1,1,49,"NW","Sanborn","Back","F","A",10,0,"Y",109.476394849785,1,1,0,0,8.28571428571429,-7,-19.8571428571429,3,-1.42883501778772,2018,"F.B"
260,1,30,30,0,1,78,"NW","Bradford","Back","F","J",8,0,"N",292,0,1,0,0,4.71428571428571,-25,-41.7142857142857,3,0.726272662685524,2018,"F.B"
261,1,30,30,0,1,78,"NW","Bradford","Back","F","A",8.5,0,"N",200,1,1,0,0,4.71428571428571,-25,-41.7142857142857,3,-2.17965131847235,2018,"F.B"
265,1,30,30,0,1,78,"NW","Bradford","Back","F","A",9.5,1,"N",95,1,1,0,0,4.71428571428571,-25,-41.7142857142857,3,-1.17965131847235,2018,"F.B"
266,1,30,30,0,1,49,"NW","Sanborn","Back","F","A",8,0,"Y",109.476394849785,1,1,0,0,8.28571428571429,-7,-19.8571428571429,3,-2.83489214487203,2018,"F.B"
272,1,30,30,0,1,49,"NW","Sanborn","Back","F","A",9.5,0,"Y",109.476394849785,0.74468085106383,1,0,0,8.28571428571429,-7,-19.8571428571429,2,-2.22580645424557,2018,"F.B"
275,1,30,30,0,1,49,"NW","Sanborn","Back","F","A",10,0,"Y",109.476394849785,1,1,0,0,8.28571428571429,-7,-19.8571428571429,3,-1.42883501778772,2018,"F.B"
280,1,30,30,0,1,49,"NW","Sanborn","Back","F","A",10.75,0,"Y",109.476394849785,1,1,0,0,8.28571428571429,-7,-19.8571428571429,3,-2.16369220007696,2018,"F.B"
281,1,30,30,0,1,49,"NW","Sanborn","Back","F","A",9,0,"Y",109.476394849785,0.74468085106383,0.564593301435407,0.172248803827751,0,8.28571428571429,-7,-19.8571428571429,0,-1.68640642664311,2018,"F.B"
283,1,30,30,0,1,78,"NW","Bradford","Back","F","J",7,0,"N",160,1,0,0,0,4.71428571428571,-25,-41.7142857142857,3,-0.867670210230171,2018,"F.B"
284,1,4,11,1,1,49,"NW","Sanborn","Back","F","A",10,0,"Y",109.476394849785,0.74468085106383,0.564593301435407,0.172248803827751,0,8.28571428571429,-7,-19.8571428571429,0,-3.2106636365348,2018,"F.B"
286,1,30,30,0,1,64,"NE","Horseback","Back","F","A",12.5,1,"Y",46,1,1,0,0,49.7142857142857,-12,-5.71428571428571,3,1.37163044013776,2018,"F.B"
351,1,1,19,1,1,81,"S","Rust Farm","Back","F","A",10.5,0,"N",4,1,1,0,0,1.57142857142857,58,22.4285714285714,3,2.04833325925503,2018,"F.B"
352,1,30,30,0,1,48,"S","Mosher Corner (Gray)","Back","F","A",9,0,"Y",109.476394849785,1,1,0,64,28.4285714285714,35,20.5714285714286,3,-2.42906795255223,2018,"F.B"
354,1,30,30,0,1,53,"NE","Bradbury","Back","F","A",8.5,0,"Y",109.476394849785,1,1,0,10,12,-20,-15.5714285714286,3,2.12061114105371,2018,"F.B"
